go_id,pathway_name,pathway_name
GO:0051987,positive regulation of attachment of spindle microtubules to kinetochore,cell-division
GO:0072356,chromosome passenger complex localization to kinetochore,cell-division
GO:0007165,signal transduction,signalling
GO:0002376,immune system process,immune
GO:0006915,apoptotic process,cell-death
GO:0006954,inflammatory response,myeloid
GO:0045087,innate immune response,immune
GO:0032088,negative regulation of NF-kappaB transcription factor activity,transcription
GO:0050718,positive regulation of interleukin-1 beta secretion,immune
GO:0043280,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,cell-death
GO:0010951,negative regulation of endopeptidase activity,protein-processing
GO:0071222,cellular response to lipopolysaccharide,cellular-response
GO:0071347,cellular response to interleukin-1,immune
GO:1900016,negative regulation of cytokine production involved in inflammatory response,myeloid
GO:0050713,negative regulation of interleukin-1 beta secretion,immune
GO:0010955,negative regulation of protein processing,protein-processing
GO:1905246,negative regulation of aspartic-type peptidase activity,peptide
GO:0006281,DNA repair,DNA-repair
GO:0006310,DNA recombination,replication
GO:0006974,cellular response to DNA damage stimulus,DNA-repair
GO:0097190,apoptotic signaling pathway,cell-death
GO:0016579,protein deubiquitination,protein-processing
GO:0043065,positive regulation of apoptotic process,cell-death
GO:0007186,G protein-coupled receptor signaling pathway,signalling
GO:0002250,adaptive immune response,immune
GO:0043312,neutrophil degranulation,myeloid
GO:2000515,"negative regulation of CD4-positive, alpha-beta T cell activation",lymphoid
GO:0006388,"tRNA splicing, via endonucleolytic cleavage and ligation",ribosome
GO:0000379,tRNA-type intron splice site recognition and cleavage,ribosome
GO:0006397,mRNA processing,rna-processing
GO:0008033,tRNA processing,ribosome
GO:0090305,nucleic acid phosphodiester bond hydrolysis,DNA-repair
GO:0090501,RNA phosphodiester bond hydrolysis,rna-processing
GO:0090502,"RNA phosphodiester bond hydrolysis, endonucleolytic",rna-processing
GO:0006355,"regulation of transcription, DNA-templated",transcription
GO:0007275,multicellular organism development,multicellular
GO:0031047,gene silencing by RNA,transcription
GO:0006977,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",DNA-repair
GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",rna-processing
GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,rna-processing
GO:0006417,regulation of translation,translation
GO:0017148,negative regulation of translation,translation
GO:2000036,regulation of stem cell population maintenance,cell-division
GO:0120162,positive regulation of cold-induced thermogenesis,environment-sensing
GO:0006468,protein phosphorylation,phosphorylation
GO:0035556,intracellular signal transduction,signalling
GO:0045944,positive regulation of transcription by RNA polymerase II,transcription
GO:0016310,phosphorylation,metabolic-biosynthesis
GO:0043066,negative regulation of apoptotic process,cell-death
GO:0045597,positive regulation of cell differentiation,differentiation
GO:0030307,positive regulation of cell growth,growth-regulation
GO:0043154,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,cell-death
GO:0043620,regulation of DNA-templated transcription in response to stress,transcription
GO:0072574,hepatocyte proliferation,liver
GO:0043555,regulation of translation in response to stress,translation
GO:2000491,positive regulation of hepatic stellate cell activation,monocyte
GO:0006629,lipid metabolic process,lipid
GO:0008654,phospholipid biosynthetic process,lipid
GO:0006644,phospholipid metabolic process,lipid
GO:0036149,phosphatidylinositol acyl-chain remodeling,lipid
GO:0021819,layer formation in cerebral cortex,brain
GO:0006412,translation,translation
GO:0019083,viral transcription,immune
GO:0008284,positive regulation of cell population proliferation,cell-division
GO:0006413,translational initiation,translation
GO:0006364,rRNA processing,ribosome
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",rna-processing
GO:0006614,SRP-dependent cotranslational protein targeting to membrane,translation
GO:0045903,positive regulation of translational fidelity,translation
GO:0034220,ion transmembrane transport,transport
GO:0006334,nucleosome assembly,histone-chromatin
GO:0006464,cellular protein modification process,protein-processing
GO:0006338,chromatin remodeling,histone-chromatin
GO:0019827,stem cell population maintenance,cell-division
GO:0036413,histone H3-R26 citrullination,histone-chromatin
GO:0050776,regulation of immune response,immune
GO:0038065,collagen-activated signaling pathway,signalling
GO:0030316,osteoclast differentiation,osteo-bone
GO:0051497,negative regulation of stress fiber assembly,cytoskeleton
GO:0030335,positive regulation of cell migration,migration
GO:2000810,regulation of bicellular tight junction assembly,cytoskeleton
GO:0035329,hippo signaling,growth-regulation
GO:0150105,protein localization to cell-cell junction,ecm
GO:1902396,protein localization to bicellular tight junction,ecm
GO:0007043,cell-cell junction assembly,ecm
GO:0090557,establishment of endothelial intestinal barrier,blood-vessel
GO:2000049,positive regulation of cell-cell adhesion mediated by cadherin,cell-adhesion
GO:0071896,protein localization to adherens junction,ecm
GO:0031032,actomyosin structure organization,cytoskeleton
GO:0034334,adherens junction maintenance,protein-processing
GO:0045216,cell-cell junction organization,signalling
GO:0051493,regulation of cytoskeleton organization,cytoskeleton
GO:1901888,regulation of cell junction assembly,ecm
GO:1903672,positive regulation of sprouting angiogenesis,blood-vessel
GO:1905605,positive regulation of maintenance of permeability of blood-brain barrier,brain
GO:2000250,negative regulation of actin cytoskeleton reorganization,cytoskeleton
GO:0042572,retinol metabolic process,eye
GO:0042574,retinal metabolic process,eye
GO:0015718,monocarboxylic acid transport,transport
GO:0050900,leukocyte migration,lymphoid
GO:0007098,centrosome cycle,cytoskeleton
GO:0006090,pyruvate metabolic process,metabolic-biosynthesis
GO:0015728,mevalonate transport,transport
GO:0035879,plasma membrane lactate transport,transport
GO:0035873,lactate transmembrane transport,transport
GO:0006749,glutathione metabolic process,metabolic-biosynthesis
GO:1901687,glutathione derivative biosynthetic process,metabolic-biosynthesis
GO:0045893,"positive regulation of transcription, DNA-templated",transcription
GO:0000398,"mRNA splicing, via spliceosome",rna-processing
GO:0000244,spliceosomal tri-snRNP complex assembly,rna-processing
GO:0007030,Golgi organization,transport
GO:0032049,cardiolipin biosynthetic process,metabolic-biosynthesis
GO:0007596,blood coagulation,blood-vessel
GO:0007599,hemostasis,environment-sensing
GO:0030168,platelet activation,red-blood
GO:0007167,enzyme linked receptor protein signaling pathway,signalling
GO:0098869,cellular oxidant detoxification,liver
GO:0034599,cellular response to oxidative stress,cellular-response
GO:0042744,hydrogen peroxide catabolic process,catabolic
GO:0006357,regulation of transcription by RNA polymerase II,transcription
GO:0006366,transcription by RNA polymerase II,transcription
GO:0046856,phosphatidylinositol dephosphorylation,phosphorylation
GO:0050852,T cell receptor signaling pathway,lymphoid
GO:0006661,phosphatidylinositol biosynthetic process,cytoskeleton
GO:0019221,cytokine-mediated signaling pathway,signalling
GO:0006796,phosphate-containing compound metabolic process,metabolic-biosynthesis
GO:0043647,inositol phosphate metabolic process,metabolic-biosynthesis
GO:0007218,neuropeptide signaling pathway,brain
GO:0006886,intracellular protein transport,protein-processing
GO:0050790,regulation of catalytic activity,metabolic-biosynthesis
GO:0043086,negative regulation of catalytic activity,metabolic-biosynthesis
GO:0046883,regulation of hormone secretion,secretion
GO:0016486,peptide hormone processing,protein-processing
GO:0007608,sensory perception of smell,olfactory
GO:0050896,response to stimulus,environment-sensing
GO:0007635,chemosensory behavior,behavior
GO:0036297,interstrand cross-link repair,DNA-repair
GO:0000724,double-strand break repair via homologous recombination,DNA-repair
GO:0006289,nucleotide-excision repair,DNA-repair
GO:0033683,"nucleotide-excision repair, DNA incision",DNA-repair
GO:0016055,Wnt signaling pathway,signalling
GO:0030182,neuron differentiation,neuron
GO:0045165,cell fate commitment,differentiation
GO:0060070,canonical Wnt signaling pathway,signalling
GO:0071300,cellular response to retinoic acid,cellular-response
GO:0010628,positive regulation of gene expression,transcription
GO:0000902,cell morphogenesis,morphogenesis
GO:1904954,canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation,neuron
GO:0072089,stem cell proliferation,cell-division
GO:0061180,mammary gland epithelium development,glands
GO:0050767,regulation of neurogenesis,brain
GO:0044338,canonical Wnt signaling pathway involved in mesenchymal stem cell differentiation,mesoderm
GO:0044339,canonical Wnt signaling pathway involved in osteoblast differentiation,osteo-bone
GO:0060174,limb bud formation,limb
GO:1905474,canonical Wnt signaling pathway involved in stem cell proliferation,cell-division
GO:0060271,cilium assembly,migration
GO:0060294,cilium movement involved in cell motility,migration
GO:0007166,cell surface receptor signaling pathway,signalling
GO:0043547,positive regulation of GTPase activity,brain
GO:0051056,regulation of small GTPase mediated signal transduction,brain
GO:0006910,"phagocytosis, recognition",cytosis-osome-vesicle
GO:0006911,"phagocytosis, engulfment",cytosis-osome-vesicle
GO:0006958,"complement activation, classical pathway",metabolic-biosynthesis
GO:0042742,defense response to bacterium,immune
GO:0050853,B cell receptor signaling pathway,lymphoid
GO:0050871,positive regulation of B cell activation,lymphoid
GO:0051262,protein tetramerization,protein-processing
GO:0007216,G protein-coupled glutamate receptor signaling pathway,neurotransmitters
GO:0071482,cellular response to light stimulus,eye
GO:0098655,cation transmembrane transport,transport
GO:0010216,maintenance of DNA methylation,methylation
GO:2000653,regulation of genetic imprinting,methylation
GO:0006955,immune response,immune
GO:0019882,antigen processing and presentation,immune
GO:0006562,proline catabolic process,catabolic
GO:2000727,positive regulation of cardiac muscle cell differentiation,muscle
GO:0030514,negative regulation of BMP signaling pathway,signalling
GO:0090090,negative regulation of canonical Wnt signaling pathway,signalling
GO:0033689,negative regulation of osteoblast proliferation,osteo-bone
GO:0060394,negative regulation of pathway-restricted SMAD protein phosphorylation,phosphorylation
GO:0007171,activation of transmembrane receptor protein tyrosine kinase activity,kinase
GO:0010717,regulation of epithelial to mesenchymal transition,differentiation
GO:0051973,positive regulation of telomerase activity,telomere
GO:0002042,cell migration involved in sprouting angiogenesis,blood-vessel
GO:0030199,collagen fibril organization,ecm
GO:0003257,positive regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation,transcription
GO:0002092,positive regulation of receptor internalization,signalling
GO:0030502,negative regulation of bone mineralization,osteo-bone
GO:0032331,negative regulation of chondrocyte differentiation,osteo-bone
GO:0045668,negative regulation of osteoblast differentiation,osteo-bone
GO:0046851,negative regulation of bone remodeling,osteo-bone
GO:0048263,determination of dorsal identity,polarity-axis
GO:0060173,limb development,limb
GO:0090027,negative regulation of monocyte chemotaxis,monocyte
GO:0090291,negative regulation of osteoclast proliferation,osteo-bone
GO:1900086,positive regulation of peptidyl-tyrosine autophosphorylation,peptide
GO:1900155,negative regulation of bone trabecula formation,osteo-bone
GO:1900158,negative regulation of bone mineralization involved in bone maturation,osteo-bone
GO:2000273,positive regulation of signaling receptor activity,signalling
GO:0006836,neurotransmitter transport,neurotransmitters
GO:0021987,cerebral cortex development,brain
GO:0060397,growth hormone receptor signaling pathway via JAK-STAT,growth-regulation
GO:0006952,defense response,immune
GO:0042127,regulation of cell population proliferation,cell-division
GO:0007259,receptor signaling pathway via JAK-STAT,signalling
GO:0032355,response to estradiol,cellular-response
GO:0032870,cellular response to hormone stimulus,cellular-response
GO:0038111,interleukin-7-mediated signaling pathway,immune
GO:0071363,cellular response to growth factor stimulus,cellular-response
GO:0071364,cellular response to epidermal growth factor stimulus,cellular-response
GO:0045648,positive regulation of erythrocyte differentiation,red-blood
GO:0040014,regulation of multicellular organism growth,multicellular
GO:0038110,interleukin-2-mediated signaling pathway,immune
GO:0043434,response to peptide hormone,cellular-response
GO:0019530,taurine metabolic process,metabolic-biosynthesis
GO:0035723,interleukin-15-mediated signaling pathway,immune
GO:0038113,interleukin-9-mediated signaling pathway,immune
GO:0001553,luteinization,metabolic-biosynthesis
GO:0001779,natural killer cell differentiation,lymphoid
GO:0007548,sex differentiation,reproduction
GO:0007565,female pregnancy,reproduction
GO:0019218,regulation of steroid metabolic process,metabolic-biosynthesis
GO:0019915,lipid storage,lipid
GO:0030155,regulation of cell adhesion,cell-adhesion
GO:0030856,regulation of epithelial cell differentiation,differentiation
GO:0032819,positive regulation of natural killer cell proliferation,lymphoid
GO:0032825,positive regulation of natural killer cell differentiation,lymphoid
GO:0033077,T cell differentiation in thymus,lymphoid
GO:0040018,positive regulation of multicellular organism growth,multicellular
GO:0042104,positive regulation of activated T cell proliferation,lymphoid
GO:0042448,progesterone metabolic process,metabolic-biosynthesis
GO:0043029,T cell homeostasis,homeostasis
GO:0045086,positive regulation of interleukin-2 biosynthetic process,immune
GO:0045579,positive regulation of B cell differentiation,lymphoid
GO:0045588,positive regulation of gamma-delta T cell differentiation,lymphoid
GO:0045621,positive regulation of lymphocyte differentiation,lymphoid
GO:0045647,negative regulation of erythrocyte differentiation,red-blood
GO:0045931,positive regulation of mitotic cell cycle,cell-division
GO:0045954,positive regulation of natural killer cell mediated cytotoxicity,lymphoid
GO:0046543,development of secondary female sexual characteristics,reproduction
GO:0046544,development of secondary male sexual characteristics,reproduction
GO:0048541,Peyer's patch development,eye
GO:0050729,positive regulation of inflammatory response,myeloid
GO:0070669,response to interleukin-2,immune
GO:0070670,response to interleukin-4,immune
GO:0070672,response to interleukin-15,immune
GO:0097531,mast cell migration,lymphoid
GO:0048511,rhythmic process,circadian-rhythm
GO:0045892,"negative regulation of transcription, DNA-templated",transcription
GO:0042754,negative regulation of circadian rhythm,circadian-rhythm
GO:0007018,microtubule-based movement,cytoskeleton
GO:0045880,positive regulation of smoothened signaling pathway,growth-regulation
GO:0045879,negative regulation of smoothened signaling pathway,growth-regulation
GO:0009653,anatomical structure morphogenesis,morphogenesis
GO:0051898,negative regulation of protein kinase B signaling,kinase
GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,DNA-repair
GO:0016567,protein ubiquitination,protein-processing
GO:0006511,ubiquitin-dependent protein catabolic process,catabolic
GO:0070936,protein K48-linked ubiquitination,protein-processing
GO:0030433,ubiquitin-dependent ERAD pathway,protein-processing
GO:0044257,cellular protein catabolic process,catabolic
GO:1904380,endoplasmic reticulum mannose trimming,protein-processing
GO:0070534,protein K63-linked ubiquitination,protein-processing
GO:0071712,ER-associated misfolded protein catabolic process,catabolic
GO:0036503,ERAD pathway,protein-processing
GO:0034553,mitochondrial respiratory chain complex II assembly,mitochondrion
GO:0045333,cellular respiration,lung
GO:0046330,positive regulation of JNK cascade,MAPK
GO:0001934,positive regulation of protein phosphorylation,phosphorylation
GO:0090263,positive regulation of canonical Wnt signaling pathway,signalling
GO:0033138,positive regulation of peptidyl-serine phosphorylation,peptide
GO:1904886,beta-catenin destruction complex disassembly,growth-regulation
GO:0031398,positive regulation of protein ubiquitination,protein-processing
GO:0010800,positive regulation of peptidyl-threonine phosphorylation,peptide
GO:0030111,regulation of Wnt signaling pathway,signalling
GO:0032147,activation of protein kinase activity,kinase
GO:0033146,regulation of intracellular estrogen receptor signaling pathway,signalling
GO:0034622,cellular protein-containing complex assembly,protein-processing
GO:0045732,positive regulation of protein catabolic process,catabolic
GO:0051443,positive regulation of ubiquitin-protein transferase activity,protein-processing
GO:1904885,beta-catenin destruction complex assembly,growth-regulation
GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,catabolic
GO:0030154,cell differentiation,differentiation
GO:0006260,DNA replication,replication
GO:0010212,response to ionizing radiation,cellular-response
GO:0033314,mitotic DNA replication checkpoint,cell-division
GO:0007093,mitotic cell cycle checkpoint,cell-division
GO:0030174,regulation of DNA-dependent DNA replication initiation,replication
GO:0000122,negative regulation of transcription by RNA polymerase II,transcription
GO:0007017,microtubule-based process,cytoskeleton
GO:0000226,microtubule cytoskeleton organization,cytoskeleton
GO:0000278,mitotic cell cycle,cell-division
GO:0000086,G2/M transition of mitotic cell cycle,cell-division
GO:0010389,regulation of G2/M transition of mitotic cell cycle,cell-division
GO:0097711,ciliary basal body-plasma membrane docking,cytoskeleton
GO:0009987,cellular process,metabolic-biosynthesis
GO:0030705,cytoskeleton-dependent intracellular transport,cytoskeleton
GO:0042267,natural killer cell mediated cytotoxicity,lymphoid
GO:0007010,cytoskeleton organization,cytoskeleton
GO:0008150,biological_process,biological_process
GO:0006508,proteolysis,protein-processing
GO:0006349,regulation of gene expression by genetic imprinting,methylation
GO:0043045,DNA methylation involved in embryo development,methylation
GO:1903508,positive regulation of nucleic acid-templated transcription,transcription
GO:0042981,regulation of apoptotic process,cell-death
GO:0016032,viral process,immune
GO:0008625,extrinsic apoptotic signaling pathway via death domain receptors,cell-death
GO:0030521,androgen receptor signaling pathway,neurotransmitters
GO:1903936,cellular response to sodium arsenite,cellular-response
GO:0034605,cellular response to heat,environment-sensing
GO:0007257,activation of JUN kinase activity,kinase
GO:0071276,cellular response to cadmium ion,environment-sensing
GO:1901216,positive regulation of neuron death,neuron
GO:0071280,cellular response to copper ion,environment-sensing
GO:0031396,regulation of protein ubiquitination,protein-processing
GO:0034620,cellular response to unfolded protein,cellular-response
GO:0072738,cellular response to diamide,cellular-response
GO:0045860,positive regulation of protein kinase activity,kinase
GO:0046597,negative regulation of viral entry into host cell,immune
GO:0051091,positive regulation of DNA-binding transcription factor activity,transcription
GO:0060333,interferon-gamma-mediated signaling pathway,immune
GO:0032897,negative regulation of viral transcription,immune
GO:1902186,regulation of viral release from host cell,immune
GO:0006351,"transcription, DNA-templated",transcription
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,kinase
GO:0006368,transcription elongation from RNA polymerase II promoter,transcription
GO:0006370,7-methylguanosine mRNA capping,rna-processing
GO:0006367,transcription initiation from RNA polymerase II promoter,transcription
GO:0000082,G1/S transition of mitotic cell cycle,cell-division
GO:0006361,transcription initiation from RNA polymerase I promoter,transcription
GO:0006362,transcription elongation from RNA polymerase I promoter,transcription
GO:0006363,termination of RNA polymerase I transcription,transcription
GO:0006283,transcription-coupled nucleotide-excision repair,DNA-repair
GO:0050821,protein stabilization,protein-processing
GO:0006294,"nucleotide-excision repair, preincision complex assembly",DNA-repair
GO:0070816,phosphorylation of RNA polymerase II C-terminal domain,transcription
GO:0035065,regulation of histone acetylation,histone-chromatin
GO:0001932,regulation of protein phosphorylation,phosphorylation
GO:0031063,regulation of histone deacetylation,histone-chromatin
GO:0031647,regulation of protein stability,protein-processing
GO:0090043,regulation of tubulin deacetylation,cytoskeleton
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",rna-processing
GO:0006376,mRNA splice site selection,rna-processing
GO:0051092,positive regulation of NF-kappaB transcription factor activity,transcription
GO:0007500,mesodermal cell fate determination,mesoderm
GO:0032481,positive regulation of type I interferon production,immune
GO:1902187,negative regulation of viral release from host cell,immune
GO:1900246,positive regulation of RIG-I signaling pathway,signalling
GO:1901253,negative regulation of intracellular transport of viral material,immune
GO:1901223,negative regulation of NIK/NF-kappaB signaling,signalling
GO:0042177,negative regulation of protein catabolic process,catabolic
GO:0045116,protein neddylation,protein-processing
GO:1900181,negative regulation of protein localization to nucleus,protein-processing
GO:0046718,viral entry into host cell,immune
GO:0030449,regulation of complement activation,replication
GO:0007338,single fertilization,reproduction
GO:0042102,positive regulation of T cell proliferation,lymphoid
GO:0002456,T cell mediated immunity,lymphoid
GO:0010629,negative regulation of gene expression,transcription
GO:0071636,positive regulation of transforming growth factor beta production,immune
GO:0008593,regulation of Notch signaling pathway,notch
GO:0045591,positive regulation of regulatory T cell differentiation,lymphoid
GO:0032733,positive regulation of interleukin-10 production,immune
GO:0032613,interleukin-10 production,immune
GO:0035581,sequestering of extracellular ligand from receptor,signalling
GO:0043382,positive regulation of memory T cell differentiation,lymphoid
GO:0006269,"DNA replication, synthesis of RNA primer",replication
GO:0006270,DNA replication initiation,replication
GO:0032201,telomere maintenance via semi-conservative replication,telomere
GO:0005975,carbohydrate metabolic process,metabolic-biosynthesis
GO:0006013,mannose metabolic process,metabolic-biosynthesis
GO:0008152,metabolic process,metabolic-biosynthesis
GO:0006486,protein glycosylation,protein-processing
GO:0006517,protein deglycosylation,protein-processing
GO:0006491,N-glycan processing,metabolic-biosynthesis
GO:0030277,maintenance of gastrointestinal epithelium,gut
GO:0010906,regulation of glucose metabolic process,metabolic-biosynthesis
GO:0008285,negative regulation of cell population proliferation,cell-division
GO:0043569,negative regulation of insulin-like growth factor receptor signaling pathway,pancreas
GO:0010719,negative regulation of epithelial to mesenchymal transition,growth-regulation
GO:0051216,cartilage development,osteo-bone
GO:0001501,skeletal system development,osteo-bone
GO:0060037,pharyngeal system development,lung
GO:0060395,SMAD protein signal transduction,protein-processing
GO:0003272,endocardial cushion formation,heart
GO:0003344,pericardium morphogenesis,heart
GO:0007389,pattern specification process,morphogenesis
GO:0021502,neural fold elevation formation,neural-crest
GO:0030539,male genitalia development,reproduction
GO:0030902,hindbrain development,brain
GO:0043583,ear development,auditory
GO:0048738,cardiac muscle tissue development,muscle
GO:0060411,cardiac septum morphogenesis,heart
GO:0060710,chorio-allantoic fusion,heart
GO:0061384,heart trabecula morphogenesis,heart
GO:0097065,anterior head development,heart
GO:1905069,allantois development,gut
GO:0001503,ossification,osteo-bone
GO:0030509,BMP signaling pathway,signalling
GO:0010862,positive regulation of pathway-restricted SMAD protein phosphorylation,phosphorylation
GO:1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,cell-death
GO:1900006,positive regulation of dendrite development,brain
GO:0071676,negative regulation of mononuclear cell migration,migration
GO:0050679,positive regulation of epithelial cell proliferation,cell-division
GO:0010894,negative regulation of steroid biosynthetic process,metabolic-biosynthesis
GO:0032348,negative regulation of aldosterone biosynthetic process,metabolic-biosynthesis
GO:2000065,negative regulation of cortisol biosynthetic process,metabolic-biosynthesis
GO:0003323,type B pancreatic cell development,pancreas
GO:0032483,regulation of Rab protein signal transduction,protein-processing
GO:0002181,cytoplasmic translation,translation
GO:0007566,embryo implantation,blastocyst
GO:0018108,peptidyl-tyrosine phosphorylation,peptide
GO:0071902,positive regulation of protein serine/threonine kinase activity,kinase
GO:0000165,MAPK cascade,MAPK
GO:0007346,regulation of mitotic cell cycle,cell-division
GO:0023014,signal transduction by protein phosphorylation,phosphorylation
GO:0031098,stress-activated protein kinase signaling cascade,growth-regulation
GO:0000187,activation of MAPK activity,MAPK
GO:0032872,regulation of stress-activated MAPK cascade,MAPK
GO:2000641,regulation of early endosome to late endosome transport,cytosis-osome-vesicle
GO:1903800,positive regulation of production of miRNAs involved in gene silencing by miRNA,transcription
GO:0070371,ERK1 and ERK2 cascade,MAPK
GO:0090170,regulation of Golgi inheritance,transport
GO:0036289,peptidyl-serine autophosphorylation,peptide
GO:0051562,negative regulation of mitochondrial calcium ion concentration,mitochondrion
GO:0070098,chemokine-mediated signaling pathway,immune
GO:0060455,negative regulation of gastric acid secretion,gut
GO:0043044,ATP-dependent chromatin remodeling,histone-chromatin
GO:0045727,positive regulation of translation,translation
GO:0045793,positive regulation of cell size,cell-size
GO:0032469,endoplasmic reticulum calcium ion homeostasis,protein-processing
GO:0006816,calcium ion transport,transport
GO:0070588,calcium ion transmembrane transport,transport
GO:0006983,ER overload response,environment-sensing
GO:0006879,cellular iron ion homeostasis,homeostasis
GO:0045669,positive regulation of osteoblast differentiation,osteo-bone
GO:0045780,positive regulation of bone resorption,osteo-bone
GO:0045851,pH reduction,environment-sensing
GO:0045921,positive regulation of exocytosis,cytosis-osome-vesicle
GO:0051656,establishment of organelle localization,cytoskeleton
GO:0070374,positive regulation of ERK1 and ERK2 cascade,MAPK
GO:2001206,positive regulation of osteoclast development,osteo-bone
GO:0008286,insulin receptor signaling pathway,signalling
GO:0033572,transferrin transport,transport
GO:0036295,cellular response to increased oxygen levels,cellular-response
GO:0030641,regulation of cellular pH,environment-sensing
GO:0007155,cell adhesion,cell-adhesion
GO:0007417,central nervous system development,spine
GO:0030198,extracellular matrix organization,ecm
GO:0018146,keratan sulfate biosynthetic process,metabolic-biosynthesis
GO:0042340,keratan sulfate catabolic process,catabolic
GO:0001502,cartilage condensation,osteo-bone
GO:0002063,chondrocyte development,osteo-bone
GO:0007507,heart development,heart
GO:0030166,proteoglycan biosynthetic process,ecm
GO:0018095,protein polyglutamylation,protein-processing
GO:0007283,spermatogenesis,reproduction
GO:2000403,positive regulation of lymphocyte migration,lymphoid
GO:0007160,cell-matrix adhesion,ecm
GO:0043113,receptor clustering,signalling
GO:0034113,heterotypic cell-cell adhesion,cell-adhesion
GO:0050901,leukocyte tethering or rolling,lymphoid
GO:0002687,positive regulation of leukocyte migration,lymphoid
GO:0032091,negative regulation of protein binding,protein-processing
GO:1901799,negative regulation of proteasomal protein catabolic process,catabolic
GO:0030203,glycosaminoglycan metabolic process,metabolic-biosynthesis
GO:0050650,chondroitin sulfate proteoglycan biosynthetic process,metabolic-biosynthesis
GO:0007520,myoblast fusion,muscle
GO:0007009,plasma membrane organization,ecm
GO:0061025,membrane fusion,ecm
GO:0006936,muscle contraction,muscle
GO:0001778,plasma membrane repair,DNA-repair
GO:0033292,T-tubule organization,ecm
GO:0008015,blood circulation,blood-vessel
